sara123,sara,sara@gmail.com,12345@A,300
xm456,Alex,alex@email.com,Pass123!,400
lina65,Sarah,sarah.rainbow@yahoo.com,Rainbow1234,300
CodeMaster,Kevin,kevin.code@gmail.com,CodePass456,600
Sparkle99,Lily,lily.sparkle@hotmail.com,SparklePass!,500
JazzPlayer,Miles,miles.jazz@yahoo.com,azz12345,200
SunnyDays,Emily,emily.days@gmail.com,SunnyPass678,100
TigerLover,Jasmine,jasmine.tiger@hotmail.com,Tiger123!,100
QuantumCoder,Ethan,ethan.coder@gmail.com,QuantumPass321,200
GalacticExplorer,Nova,nova.galaxy@yahoo.com,GalaxyPass789,400
